Line#; Reward Date; Investment Amount; Reward Amount.; Total Reward Amount To Date.; Staking Reward Rate.
1 ; 2020-04-15 ; 28.3  ; 0.29  ; 0.01  ; 8.0 
2 ; 2020-05-15 ; 28.59  ; 0.3  ; 0.01  ; 8.0 
3 ; 2020-06-15 ; 28.89  ; 0.3  ; 0.01  ; 8.0 
4 ; 2020-07-15 ; 29.19  ; 0.3  ; 0.01  ; 8.0 
5 ; 2020-08-15 ; 29.49  ; 0.3  ; 0.01  ; 8.0 
6 ; 2020-09-15 ; 29.79  ; 0.31  ; 0.01  ; 8.0 
7 ; 2020-10-15 ; 30.1  ; 0.31  ; 0.01  ; 8.0 
8 ; 2020-11-15 ; 30.41  ; 0.31  ; 0.01  ; 8.0 
9 ; 2020-12-15 ; 30.72  ; 0.32  ; 0.01  ; 8.0 
10 ; 2021-01-15 ; 31.04  ; 0.32  ; 0.01  ; 8.0 
11 ; 2021-02-15 ; 31.36  ; 0.32  ; 0.01  ; 8.0 
12 ; 2021-03-15 ; 31.68  ; 0.32  ; 0.01  ; 8.0 
13 ; 2021-04-15 ; 32.0  ; 0.32  ; 0.01  ; 8.0 
